0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0.448,0.408
0,0,0,0,0,0,0,0,0,0.62,0,0.025,0,0,1.16,0,67.0,0.426,0.408
0.36,0.92,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,80.6,0.466,0.394
0,2.565,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,65.9,0.503,0.383
0.3,2.7,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,64.0,0.508,0.380
0.28,2.06,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,70.2,0.495,0.389
0.26,1.77,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,71.8,0.490,0.390
1.13,0,0,0,0,0,0,0,0.42,0,0,0,0.16,0,0,0,79.1,0.461,0.404
0.9,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,86.8,0.472,0.416
1.2,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,85.4,0.478,0.417
0,0,1.12,0,0,0.56,0.093,0,0,0,0,0,0,0,0,0,79.9,0.470,0.401
0,0,2.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,78.3,0.475,0.408
0,0,0.854,0,0,0.009,0,0,0,0,0.2,0.002,0,0,0.043,0,87.5,0.461,0.409
1.9,0,0,0.25,0,0,0.07,0,0,0,0,0,0,0,0,0,79.3,0.477,0.404
0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,65.6,0.578,0.421
0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,63.7,0.583,0.416
0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,61.5,0.587,0.412
0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,68.0,0.571,0.427
0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,57.7,0.597,0.402
0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,56.2,0.602,0.397
0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,59.2,0.595,0.404
0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,76.5,0.547,0.444
0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,72.7,0.557,0.438
0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,70.8,0.562,0.435
0,0,0,0,0,0,0,0,0,0,74.5,0,0,0,0,0,65.8,0.578,0.420
0,0,0,0,0,0,0,0.76,1.9,0,135,0,0.11,0,0,0,35.5,0.588,0.411
0,0,0,0,0,0,0,0.57,1.5,0,103,0,0.084,0,0,0,41.3,0.583,0.415
0,0,0,0,0,0,0,0.44,1.1,0,82,0,0.068,0,0,0,47.5,0.579,0.419
0,0,0,0,0,0,0,0.35,0.8,0,60,0,0.048,0,0,0,52.50,0.573,0.424
0,0,0,0,0,0.125,0,0.06,0.1,0,150,0,0,0,0,0,58.90,0.590,0.408
0,0,0,0,0,0,0,0.8,2.1,0,88,0,0.12,0,0,0,35.60,0.580,0.418
0,0,0,0,0,0,0,0.552,0.9,0,86.8,0,0.6,0,0,0,43.50,0.584,0.414
0,0,0,0,0,0,0,0.45,0.66,0,74,0,0.04,0,0,0,31.90,0.619,0.380
0,0,0,0,0,0,0,0.76,0.5,0,156,0,0.03,0,0,0,42.60,0.593,0.406
0,0,0,0,0,0,0,0.55,0.36,0,82,0,0.02,0,0,0,49.90,0.581,0.417
0,0,3.4,0,0,0,0,1.4,0,0,75,0,0,0,0,0,37.40,0.590,0.408
0,0,0,0,0,0,0,0.88,0.58,0,363,0,0.04,0,0,0,37.30,0.606,0.393
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.50,0.690,0.310
510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.80,0.696,0.304
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.60,0.684,0.315
740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.90,0.702,0.298
1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.30,0.709,0.290
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.00,0.653,0.345
37.2,0,0,31.6,0,0,0,0,0,0,0,0,0,0,0,0,19.60,0.686,0.311
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.30,0.664,0.336
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.20,0.668,0.331
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.50,0.679,0.321
32.9,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,25.60,0.676,0.322
310,0,0,0,0,0,3.4,0.5,0,0,0,0,0.22,0,0,0,10.50,0.688,0.311
250,0,0,0,0,0,0,1.08,1.8,0,0,0,0.072,0,0,0,13.00,0.685,0.315
